Card1,Card2,Timestamp
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
7c,9s,2024-04-05 12:38:07.077728
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
5d,3d,2024-04-05 12:38:25.698549
4s,8h,2024-04-05 12:38:35.604529
4s,8h,2024-04-05 12:38:35.604529
4s,8h,2024-04-05 12:38:35.604529
4s,8h,2024-04-05 12:38:35.604529
4s,8h,2024-04-05 12:38:35.604529
8c,3h,2024-04-05 12:38:43.695868
8c,3h,2024-04-05 12:38:43.695868
8c,3h,2024-04-05 12:38:43.695868
8c,3h,2024-04-05 12:38:43.695868
8c,3h,2024-04-05 12:38:43.695868
